"source"	"target"	"relation"	"relation long"	"tabletID"	"museum Nr"	"excavation Nr"	"publication"	"archive"	"text type"	"subtype"	"place of writing"	"date"	"reign"	"reign order"
"P05893"	P15051	"Neighbour of"	"Neighbour of [...]"	"T00606"	"BM 79511"		"Waerzeggers 2014, no. 99"	"Ṣāhit-ginê A"	"Legal document"	"lease contract"	"Sippar"	"22.5.17 Darius I"	Darius I	16
"P13330"	P14576	"Child of"	"Child of Nanāya-[...]"	"T00607"	"BM 79706"		"Waerzeggers 2014, no. 100"	"Ṣāhit-ginê A"	"Legal document"	"purchase"	"Broken/Unclear"	"26.5.17 Darius I"	Darius I	16
"P05893"	P13171	"Master of"	"Master of Ana-muhhi-Bēlet-taklāku"	"T00607"	"BM 79706"		"Waerzeggers 2014, no. 100"	"Ṣāhit-ginê A"	"Legal document"	"purchase"	"Broken/Unclear"	"26.5.17 Darius I"	Darius I	16
"P14697"	P13171	"Master of"	"Master of Ana-muhhi-Bēlet-taklāku"	"T00607"	"BM 79706"		"Waerzeggers 2014, no. 100"	"Ṣāhit-ginê A"	"Legal document"	"purchase"	"Broken/Unclear"	"26.5.17 Darius I"	Darius I	16
"P14576"	P13330	"Mother of"	"Mother of Aya-bēlet-la’inni"	"T00607"	"BM 79706"		"Waerzeggers 2014, no. 100"	"Ṣāhit-ginê A"	"Legal document"	"purchase"	"Broken/Unclear"	"26.5.17 Darius I"	Darius I	16
"P13171"	P05893	"Subordinate of"	"Subordinate of Marduk-rēmanni"	"T00607"	"BM 79706"		"Waerzeggers 2014, no. 100"	"Ṣāhit-ginê A"	"Legal document"	"purchase"	"Broken/Unclear"	"26.5.17 Darius I"	Darius I	16
"P13171"	P14697	"Subordinate of"	"Subordinate of Rēmūt-Bēl"	"T00607"	"BM 79706"		"Waerzeggers 2014, no. 100"	"Ṣāhit-ginê A"	"Legal document"	"purchase"	"Broken/Unclear"	"26.5.17 Darius I"	Darius I	16
"P05410"	P05188	"Brother of"	"Brother of Gūzānu"	"T00609"	"VAT 128"		"Baker 2004, no. 115"	"Nappāhu"	"Legal document"	"lease contract"	"Babylon"	"27.11.01 Darius I"	Darius I	16
"P05188"	P05410	"Brother of"	"Brother of Nabû-ittannu"	"T00609"	"VAT 128"		"Baker 2004, no. 115"	"Nappāhu"	"Legal document"	"lease contract"	"Babylon"	"27.11.01 Darius I"	Darius I	16
"P14019"	P06004	"Child of"	"Child of Nabû-kāṣir"	"T00611"	"BM 63806"		"Waerzeggers 2014, no. 102"	"Ṣāhit-ginê A"	"Legal document"	"promissory note, without interest"	"Susa"	".0.17 Darius I"	Darius I	16
"P06004"	P14019	"Father of"	"Father of Iddin-Nabû"	"T00611"	"BM 63806"		"Waerzeggers 2014, no. 102"	"Ṣāhit-ginê A"	"Legal document"	"promissory note, without interest"	"Susa"	".0.17 Darius I"	Darius I	16
"P05620"	P05179	"Husband of"	"Husband of Ēṭirtu"	"T00616"	"VAT 5472"		"Baker 2004, no. 120"	"Nappāhu"	"Legal document"	"receipt"	"Babylon"	"30.0.13 Darius I"	Darius I	16
"P05179"	P05620	"Wife of"	"Wife of Zumbāya"	"T00616"	"VAT 5472"		"Baker 2004, no. 120"	"Nappāhu"	"Legal document"	"receipt"	"Babylon"	"30.0.13 Darius I"	Darius I	16
"P13208"	P11765	"Child of"	"Child of Edia"	"T00628"	"HS 671"		"Joannès 1989, pp. 230-231"	"Ea-ilūtu-bāni, Ilī-bāni, Nanāhu"	"Legal document"	"delivery/payment agreement"	"Borsippa"	"09.10.11 Nabonidus"	Nabonidus	10
"P11429"	P13271	"Master of"	"Master of Murašû"	"T00628"	"HS 671"		"Joannès 1989, pp. 230-231"	"Ea-ilūtu-bāni, Ilī-bāni, Nanāhu"	"Legal document"	"delivery/payment agreement"	"Borsippa"	"09.10.11 Nabonidus"	Nabonidus	10
"P11765"	P13208	"Mother of"	"Mother of Tabnēa"	"T00628"	"HS 671"		"Joannès 1989, pp. 230-231"	"Ea-ilūtu-bāni, Ilī-bāni, Nanāhu"	"Legal document"	"delivery/payment agreement"	"Borsippa"	"09.10.11 Nabonidus"	Nabonidus	10
"P13271"	P11429	"Subordinate of"	"Subordinate of Ardia"	"T00628"	"HS 671"		"Joannès 1989, pp. 230-231"	"Ea-ilūtu-bāni, Ilī-bāni, Nanāhu"	"Legal document"	"delivery/payment agreement"	"Borsippa"	"09.10.11 Nabonidus"	Nabonidus	10
"P01529"	P00710	"Brother of"	"Brother of Esagil-[mukīn-apli]"	"T00631"	"BM 77786"		"Baker 2004, no. 124"	"Nappāhu"	"Legal document"	"broken/uncertain"	"Babylon"	"NN"	NN	null
"P00710"	P01529	"Brother of"	"Brother of Nabû-tabni-uṣur"	"T00631"	"BM 77786"		"Baker 2004, no. 124"	"Nappāhu"	"Legal document"	"broken/uncertain"	"Babylon"	"NN"	NN	null
"P14288"	P13186	"Neighbour of"	"Neighbour of Anonymous"	"T00632"	"BM 61750+"		"Waerzeggers 2014, no. 107"	"Ṣāhit-ginê A"	"Legal document"	"promissory note, with antichretic pledge"	"Broken/Unclear"	".0.20 Darius I"	Darius I	16
"P13186"	P14288	"Neighbour of"	"Neighbour of Nabû-bānûnu"	"T00632"	"BM 61750+"		"Waerzeggers 2014, no. 107"	"Ṣāhit-ginê A"	"Legal document"	"promissory note, with antichretic pledge"	"Broken/Unclear"	".0.20 Darius I"	Darius I	16
"P05893"	P06025	"Neighbour of"	"Neighbour of Ina-tēšî-ēṭir"	"T00636"	"BM 61742"		"Waerzeggers 2014, no. 109"	"Ṣāhit-ginê A"	"Legal document"	"lease contract"	"Sippar"	"24.9.21 Darius I"	Darius I	16
"P06025"	P05893	"Neighbour of"	"Neighbour of Marduk-rēmanni"	"T00636"	"BM 61742"		"Waerzeggers 2014, no. 109"	"Ṣāhit-ginê A"	"Legal document"	"lease contract"	"Sippar"	"24.9.21 Darius I"	Darius I	16
"P00052"	P00713	"Subordinate of"	"Subordinate of Ina-Esagil-ramât"	"T00637"	"VAT 102"		"Baker 2004, no. 126"	"Nappāhu"	"Legal document"	"receipt"	"Kār-Tašmētu"	"10.9.07 Cyrus"	Cyrus	11
"P00713"	P00052	"Superior of"	"Superior of Balāṭu"	"T00637"	"VAT 102"		"Baker 2004, no. 126"	"Nappāhu"	"Legal document"	"receipt"	"Kār-Tašmētu"	"10.9.07 Cyrus"	Cyrus	11
"P11456"	P13557	"Master of"	"Master of Nanāya-ittia"	"T00640"	"L 1660"		"Joannès 1989, p. 249"	"Ea-ilūtu-bāni, Ilī-bāni, Nanāhu"	"Legal document"	"promissory note, with pledge and without interest"	"Borsippa"	"15.11.13 Nabonidus"	Nabonidus	10
"P13557"	P11456	"Subordinate of"	"Subordinate of Nādinu"	"T00640"	"L 1660"		"Joannès 1989, p. 249"	"Ea-ilūtu-bāni, Ilī-bāni, Nanāhu"	"Legal document"	"promissory note, with pledge and without interest"	"Borsippa"	"15.11.13 Nabonidus"	Nabonidus	10
"P05893"	P14009	"Neighbour of"	"Neighbour of Iddin-Nabû"	"T00648"	"BM 74534"		"Waerzeggers 2014, no. 115a"	"Ṣāhit-ginê A"	"Legal document"	"promissory note, with pledge and interest"	"Ṣibtu-ša-šākin-māti"	"10.2.24 Darius I"	Darius I	16
"P06025"	P05893	"Neighbour of"	"Neighbour of Marduk-rēmanni"	"T00648"	"BM 74534"		"Waerzeggers 2014, no. 115a"	"Ṣāhit-ginê A"	"Legal document"	"promissory note, with pledge and interest"	"Ṣibtu-ša-šākin-māti"	"10.2.24 Darius I"	Darius I	16
"P14009"	P05893	"Neighbour of"	"Neighbour of Marduk-rēmanni"	"T00648"	"BM 74534"		"Waerzeggers 2014, no. 115a"	"Ṣāhit-ginê A"	"Legal document"	"promissory note, with pledge and interest"	"Ṣibtu-ša-šākin-māti"	"10.2.24 Darius I"	Darius I	16
"P05893"	P06025	"Neighbour of"	"Neighbour of Tēšî-ēṭir"	"T00648"	"BM 74534"		"Waerzeggers 2014, no. 115a"	"Ṣāhit-ginê A"	"Legal document"	"promissory note, with pledge and interest"	"Ṣibtu-ša-šākin-māti"	"10.2.24 Darius I"	Darius I	16
"P12926"	P12462	"Child of"	"Child of Zēr-Bābili"	"T00651"	"L 1661"		"Joannès 1989, pp. 249-250"	"Ea-ilūtu-bāni, Ilī-bāni, Nanāhu"	"Legal document"	"promissory note, with interest"	"Borsippa"	"17.9.03 Nabonidus"	Nabonidus	10
"P12462"	P12926	"Father of"	"Father of Nabû-ēreš"	"T00651"	"L 1661"		"Joannès 1989, pp. 249-250"	"Ea-ilūtu-bāni, Ilī-bāni, Nanāhu"	"Legal document"	"promissory note, with interest"	"Borsippa"	"17.9.03 Nabonidus"	Nabonidus	10
"P00011"	P00713	"Sister of"	"Sister of Esagil-ramât"	"T00655"	"VAT 104"		"Baker 2004, no. 132"	"Nappāhu"	"Legal document"	"promissory note"	"Babylon"	"24.6.08 Cyrus"	Cyrus	11
"P00713"	P00011	"Sister of"	"Sister of Gigītu"	"T00655"	"VAT 104"		"Baker 2004, no. 132"	"Nappāhu"	"Legal document"	"promissory note"	"Babylon"	"24.6.08 Cyrus"	Cyrus	11
"P25551"	P24358	"Nephew of"	"Nephew of Nabû-uballiṭ"	"T00661"	"BM 22052"		"Waerzeggers 2010, no. 52"	"Ilšu-abūšu B"	"Legal document"	"receipt"	"Broken/Unclear"	".0.01 Cambyses"	Cambyses	12
"P24358"	P25551	"Uncle of"	"Uncle of Nabû-zēru-ušebši"	"T00661"	"BM 22052"		"Waerzeggers 2010, no. 52"	"Ilšu-abūšu B"	"Legal document"	"receipt"	"Broken/Unclear"	".0.01 Cambyses"	Cambyses	12
"P14189"	P14534	"Master of"	"Master of Nabû-utirri"	"T00663"	"BM 79644"		"Waerzeggers 2014, no. 118"	"Ṣāhit-ginê A"	"Legal document"	"promissory note, without interest"	"Susa"	"22.13.24 Darius I"	Darius I	16
"P14534"	P14189	"Subordinate of"	"Subordinate of Marduk-šumu-iddin"	"T00663"	"BM 79644"		"Waerzeggers 2014, no. 118"	"Ṣāhit-ginê A"	"Legal document"	"promissory note, without interest"	"Susa"	"22.13.24 Darius I"	Darius I	16
"P13070"	P12824	"Husband of"	"Husband of Kabtāya"	"T00668"	"L 4716"		"Joannès 1989, pp. 256-257"	"Ea-ilūtu-bāni, Ilī-bāni, Nanāhu"	"Legal document"	"promissory note, without interest"	"Borsippa"	"03.7.02 Cyrus"	Cyrus	11
"P12824"	P13070	"Wife of"	"Wife of Širiktu"	"T00668"	"L 4716"		"Joannès 1989, pp. 256-257"	"Ea-ilūtu-bāni, Ilī-bāni, Nanāhu"	"Legal document"	"promissory note, without interest"	"Borsippa"	"03.7.02 Cyrus"	Cyrus	11
"P05893"	P14111	"Neighbour of"	"Neighbour of Kalbi-Bābu"	"T00670"	"BM 74541"		"Waerzeggers 2014, no. 121a"	"Ṣāhit-ginê A"	"Legal document"	"promissory note, with pledge and interest"	"Babylon"	"19.4.25 Darius I"	Darius I	16
"P05893"	P14147	"Neighbour of"	"Neighbour of Lulā"	"T00670"	"BM 74541"		"Waerzeggers 2014, no. 121a"	"Ṣāhit-ginê A"	"Legal document"	"promissory note, with pledge and interest"	"Babylon"	"19.4.25 Darius I"	Darius I	16
"P14111"	P05893	"Neighbour of"	"Neighbour of Marduk-rēmanni"	"T00670"	"BM 74541"		"Waerzeggers 2014, no. 121a"	"Ṣāhit-ginê A"	"Legal document"	"promissory note, with pledge and interest"	"Babylon"	"19.4.25 Darius I"	Darius I	16
"P14147"	P05893	"Neighbour of"	"Neighbour of Marduk-rēmanni"	"T00670"	"BM 74541"		"Waerzeggers 2014, no. 121a"	"Ṣāhit-ginê A"	"Legal document"	"promissory note, with pledge and interest"	"Babylon"	"19.4.25 Darius I"	Darius I	16
"P14951"	P05893	"Neighbour of"	"Neighbour of Marduk-rēmanni"	"T00670"	"BM 74541"		"Waerzeggers 2014, no. 121a"	"Ṣāhit-ginê A"	"Legal document"	"promissory note, with pledge and interest"	"Babylon"	"19.4.25 Darius I"	Darius I	16
"P05893"	P14951	"Neighbour of"	"Neighbour of Uštānu"	"T00670"	"BM 74541"		"Waerzeggers 2014, no. 121a"	"Ṣāhit-ginê A"	"Legal document"	"promissory note, with pledge and interest"	"Babylon"	"19.4.25 Darius I"	Darius I	16
"P12580"	P12568	"Brother of"	"Brother of Nabû-zēru-iddin"	"T00672"	"IM 65071"	"W.20032, 3"	"Hunger 1970, no. 4"	"Šamšēa"	"Legal document"	"purchase"	"Uruk"	"19.0. Šamaš-šumu-ukīn"	Šamaš-šumu-ukīn	3
"P12568"	P12580	"Brother of"	"Brother of Nabû-šar-ahhēšu"	"T00672"	"IM 65071"	"W.20032, 3"	"Hunger 1970, no. 4"	"Šamšēa"	"Legal document"	"purchase"	"Uruk"	"19.0. Šamaš-šumu-ukīn"	Šamaš-šumu-ukīn	3
"P12054"	P11396	"Husband of"	"Husband of Amat-Nanāya"	"T00674"	"L 4722"		"Joannès 1989, p. 258"	"Ea-ilūtu-bāni, Ilī-bāni, Nanāhu"	"Legal document"	"promissory note"	"Broken/Unclear"	"05.0.11 Darius I"	Darius I	16
"P11396"	P12054	"Wife of"	"Wife of Ṣilli-Bēl"	"T00674"	"L 4722"		"Joannès 1989, p. 258"	"Ea-ilūtu-bāni, Ilī-bāni, Nanāhu"	"Legal document"	"promissory note"	"Broken/Unclear"	"05.0.11 Darius I"	Darius I	16
"P00740"	P00713	"Husband of"	"Husband of Ina-Esagil-ramât"	"T00677"	"VAT 140"		"Baker 2004, no. 139"	"Nappāhu"	"Legal document"	"lease contract (ana sūti)"	"Babylon"	"13.9.05 Darius I"	Darius I	16
"P00713"	P03160	"Neighbour of"	"Neighbour of Anonymous"	"T00677"	"VAT 140"		"Baker 2004, no. 139"	"Nappāhu"	"Legal document"	"lease contract (ana sūti)"	"Babylon"	"13.9.05 Darius I"	Darius I	16
"P03160"	P00713	"Neighbour of"	"Neighbour of Ina-Esagil-ramât"	"T00677"	"VAT 140"		"Baker 2004, no. 139"	"Nappāhu"	"Legal document"	"lease contract (ana sūti)"	"Babylon"	"13.9.05 Darius I"	Darius I	16
"P00713"	P00740	"Wife of"	"Wife of Iddin-Nabû"	"T00677"	"VAT 140"		"Baker 2004, no. 139"	"Nappāhu"	"Legal document"	"lease contract (ana sūti)"	"Babylon"	"13.9.05 Darius I"	Darius I	16
"P05893"	P13329	"Neighbour of"	"Neighbour of Asītu-tabni"	"T00679"	"BM 64170"		"Waerzeggers 2014, no. 122"	"Ṣāhit-ginê A"	"Legal document"	"promissory note, with pledge and interest"	"Babylon"	"05.5.25 Darius I"	Darius I	16
"P05893"	P14885	"Neighbour of"	"Neighbour of Iddināya"	"T00679"	"BM 64170"		"Waerzeggers 2014, no. 122"	"Ṣāhit-ginê A"	"Legal document"	"promissory note, with pledge and interest"	"Babylon"	"05.5.25 Darius I"	Darius I	16
"P13329"	P05893	"Neighbour of"	"Neighbour of Marduk-rēmanni"	"T00679"	"BM 64170"		"Waerzeggers 2014, no. 122"	"Ṣāhit-ginê A"	"Legal document"	"promissory note, with pledge and interest"	"Babylon"	"05.5.25 Darius I"	Darius I	16
"P14885"	P05893	"Neighbour of"	"Neighbour of Marduk-rēmanni"	"T00679"	"BM 64170"		"Waerzeggers 2014, no. 122"	"Ṣāhit-ginê A"	"Legal document"	"promissory note, with pledge and interest"	"Babylon"	"05.5.25 Darius I"	Darius I	16
"P24803"	P24802	"Brother of"	"Brother of Nabû-iddin"	"T00680"	"BM 96179"		"Waerzeggers 2010, no. 54"	"Ilšu-abūšu B"	"Legal document"	"work contract"	"Borsippa"	"02.9.05 Cambyses"	Cambyses	12
"P24802"	P24803	"Brother of"	"Brother of Nabû-ittannu"	"T00680"	"BM 96179"		"Waerzeggers 2010, no. 54"	"Ilšu-abūšu B"	"Legal document"	"work contract"	"Borsippa"	"02.9.05 Cambyses"	Cambyses	12
"P00011"	P00713	"Sister of"	"Sister of Esagil-ramât"	"T00688"	"VAT 242"		"Baker 2004, no. 140"	"Nappāhu"	"Legal document"	"promissory note"	"Babylon"	"04.6.10 Darius I"	Darius I	16
"P00713"	P00011	"Sister of"	"Sister of Gigītu"	"T00688"	"VAT 242"		"Baker 2004, no. 140"	"Nappāhu"	"Legal document"	"promissory note"	"Babylon"	"04.6.10 Darius I"	Darius I	16
"P25682"	P25672	"Cousin of"	"Cousin of Mušēzib-Nabû"	"T00691"	"BM 21939"		"Waerzeggers 2010, no. 58"	"Kudurrānu A"	"Legal document"	"purchase"	"Broken/Unclear"	".0.38 Nebuchadnezzar II"	Nebuchadnezzar II	6
"P25685"	P25672	"Cousin of"	"Cousin of Mušēzib-Nabû"	"T00691"	"BM 21939"		"Waerzeggers 2010, no. 58"	"Kudurrānu A"	"Legal document"	"purchase"	"Broken/Unclear"	".0.38 Nebuchadnezzar II"	Nebuchadnezzar II	6
"P25672"	P25682	"Cousin of"	"Cousin of Nabû-šumu-ēreš"	"T00691"	"BM 21939"		"Waerzeggers 2010, no. 58"	"Kudurrānu A"	"Legal document"	"purchase"	"Broken/Unclear"	".0.38 Nebuchadnezzar II"	Nebuchadnezzar II	6
"P25685"	P25682	"Cousin of"	"Cousin of Nabû-šumu-ēreš"	"T00691"	"BM 21939"		"Waerzeggers 2010, no. 58"	"Kudurrānu A"	"Legal document"	"purchase"	"Broken/Unclear"	".0.38 Nebuchadnezzar II"	Nebuchadnezzar II	6
"P25672"	P25685	"Cousin of"	"Cousin of Nādinu"	"T00691"	"BM 21939"		"Waerzeggers 2010, no. 58"	"Kudurrānu A"	"Legal document"	"purchase"	"Broken/Unclear"	".0.38 Nebuchadnezzar II"	Nebuchadnezzar II	6
"P25682"	P25685	"Cousin of"	"Cousin of Nādinu"	"T00691"	"BM 21939"		"Waerzeggers 2010, no. 58"	"Kudurrānu A"	"Legal document"	"purchase"	"Broken/Unclear"	".0.38 Nebuchadnezzar II"	Nebuchadnezzar II	6
"P14522"	P14000	"Brother of"	"Brother of Iddin-Bēl"	"T00706"	"BM 74530"		"Waerzeggers 2014, no. 125"	"Ṣāhit-ginê A"	"Legal document"	"promissory note"	"Bīt-Ša-Bēl-ūdu"	"26.6.25 Darius I"	Darius I	16
"P14000"	P14522	"Brother of"	"Brother of Nabû-uballiṭ"	"T00706"	"BM 74530"		"Waerzeggers 2014, no. 125"	"Ṣāhit-ginê A"	"Legal document"	"promissory note"	"Bīt-Ša-Bēl-ūdu"	"26.6.25 Darius I"	Darius I	16
"P14097"	P13332	"Brother of"	"Brother of Ba-Iltehr-ahāt"	"T00714"	"BM 74529"		"Waerzeggers 2014, no. 127"	"Ṣāhit-ginê A"	"Legal document"	"receipt"	"Babylon"	"15.13.25 Darius I"	Darius I	16
"P13332"	P14097	"Brother of"	"Brother of Nusku-īnīa"	"T00714"	"BM 74529"		"Waerzeggers 2014, no. 127"	"Ṣāhit-ginê A"	"Legal document"	"receipt"	"Babylon"	"15.13.25 Darius I"	Darius I	16
"P00737"	P00046	"Brother of"	"Brother of Arad-Bēl"	"T00716"	"VAT 382"		"Baker 2004, no. 149"	"Nappāhu"	"Legal document"	"promissory note"	"Broken/Unclear"	"03.0. Darius I"	Darius I	16
"P00046"	P00737	"Brother of"	"Brother of Iddin-Bēl"	"T00716"	"VAT 382"		"Baker 2004, no. 149"	"Nappāhu"	"Legal document"	"promissory note"	"Broken/Unclear"	"03.0. Darius I"	Darius I	16
"P00740"	P00713	"Husband of"	"Husband of Esagil-ramât"	"T00718"	"VAT 353"		"Baker 2004, no. 151"	"Nappāhu"	"Legal document"	"receipt"	"Kār-Nabû nāru-ša-Ahhē-šullim"	"01.8.13 Darius I"	Darius I	16
"P00713"	P00740	"Wife of"	"Wife of Iddin-Nabû"	"T00718"	"VAT 353"		"Baker 2004, no. 151"	"Nappāhu"	"Legal document"	"receipt"	"Kār-Nabû nāru-ša-Ahhē-šullim"	"01.8.13 Darius I"	Darius I	16
"P13187"	P13763	"Master of"	"Master of Bēl-šullimanni"	"T00720"	"BM 74564"		"Waerzeggers 2014, no. 129"	"Ṣāhit-ginê A"	"Legal document"	"receipt"	"Babylon"	"10.4.26 Darius I"	Darius I	16
"P13763"	P13187	"Subordinate of"	"Subordinate of Ina-Esagil-lilbur"	"T00720"	"BM 74564"		"Waerzeggers 2014, no. 129"	"Ṣāhit-ginê A"	"Legal document"	"receipt"	"Babylon"	"10.4.26 Darius I"	Darius I	16
"P05893"	P14010	"Neighbour of"	"Neighbour of Iddin-Nabû"	"T00721"	"BM 61704"		"Waerzeggers 2014, no. 130"	"Ṣāhit-ginê A"	"Legal document"	"receipt"	"Babylon"	".4.26 Darius I"	Darius I	16
"P05893"	P14081	"Neighbour of"	"Neighbour of Ištame-abūšu"	"T00721"	"BM 61704"		"Waerzeggers 2014, no. 130"	"Ṣāhit-ginê A"	"Legal document"	"receipt"	"Babylon"	".4.26 Darius I"	Darius I	16
"P14010"	P05893	"Neighbour of"	"Neighbour of Marduk-rēmanni"	"T00721"	"BM 61704"		"Waerzeggers 2014, no. 130"	"Ṣāhit-ginê A"	"Legal document"	"receipt"	"Babylon"	".4.26 Darius I"	Darius I	16
"P14081"	P05893	"Neighbour of"	"Neighbour of Marduk-rēmanni"	"T00721"	"BM 61704"		"Waerzeggers 2014, no. 130"	"Ṣāhit-ginê A"	"Legal document"	"receipt"	"Babylon"	".4.26 Darius I"	Darius I	16
"P14753"	P14850	"Subordinate of"	"Subordinate of Šamšāya"	"T00725"	"BM 74977"		"Waerzeggers 2014, no. 131"	"Ṣāhit-ginê A"	"Legal document"	"receipt"	"Sippar"	".6.26 Darius I"	Darius I	16
"P14850"	P14753	"Superior of"	"Superior of Šamaš-ahu-ittannu"	"T00725"	"BM 74977"		"Waerzeggers 2014, no. 131"	"Ṣāhit-ginê A"	"Legal document"	"receipt"	"Sippar"	".6.26 Darius I"	Darius I	16
"P01529"	P00713	"Brother of"	"Brother of Esagil-ramât"	"T00728"	"VAT 1980+"		"Baker 2004, no. 154"	"Nappāhu"	"Legal document"	"promissory note"	"Broken/Unclear"	".0.07 Darius I"	Darius I	16
"P00713"	P01529	"Sister of"	"Sister of [Nabû-tabni]-uṣur"	"T00728"	"VAT 1980+"		"Baker 2004, no. 154"	"Nappāhu"	"Legal document"	"promissory note"	"Broken/Unclear"	".0.07 Darius I"	Darius I	16
"P13331"	P14702	"Child of"	"Child of Rēmūt-Bēl"	"T00729"	"BM 74643"		"Waerzeggers 2014, no. 133"	"Ṣāhit-ginê A"	"Legal document"	"promissory note, with antichretic pledge"	"Ālu-ša-mê-Bīt-Bēl-kāṣir"	"22.13.26 Darius I"	Darius I	16
"P14702"	P13331	"Father of"	"Father of Aya-enqet"	"T00729"	"BM 74643"		"Waerzeggers 2014, no. 133"	"Ṣāhit-ginê A"	"Legal document"	"promissory note, with antichretic pledge"	"Ālu-ša-mê-Bīt-Bēl-kāṣir"	"22.13.26 Darius I"	Darius I	16
"P13331"	P14573	"Master of"	"Master of Nanāya-lūmur"	"T00729"	"BM 74643"		"Waerzeggers 2014, no. 133"	"Ṣāhit-ginê A"	"Legal document"	"promissory note, with antichretic pledge"	"Ālu-ša-mê-Bīt-Bēl-kāṣir"	"22.13.26 Darius I"	Darius I	16
"P14702"	P14573	"Master of"	"Master of Nanāya-lūmur"	"T00729"	"BM 74643"		"Waerzeggers 2014, no. 133"	"Ṣāhit-ginê A"	"Legal document"	"promissory note, with antichretic pledge"	"Ālu-ša-mê-Bīt-Bēl-kāṣir"	"22.13.26 Darius I"	Darius I	16
"P14573"	P13331	"Subordinate of"	"Subordinate of Aya-enqet"	"T00729"	"BM 74643"		"Waerzeggers 2014, no. 133"	"Ṣāhit-ginê A"	"Legal document"	"promissory note, with antichretic pledge"	"Ālu-ša-mê-Bīt-Bēl-kāṣir"	"22.13.26 Darius I"	Darius I	16
"P14573"	P14702	"Subordinate of"	"Subordinate of Rēmūt-Bēl"	"T00729"	"BM 74643"		"Waerzeggers 2014, no. 133"	"Ṣāhit-ginê A"	"Legal document"	"promissory note, with antichretic pledge"	"Ālu-ša-mê-Bīt-Bēl-kāṣir"	"22.13.26 Darius I"	Darius I	16
"P00740"	P00713	"Husband of"	"Husband of Ina-E[sagil-ramât]"	"T00730"	"VAT 322"		"Baker 2004, no. 155"	"Nappāhu"	"Legal document"	"promissory note"	"Kār-Nabû-ša-muhhi-nāri-ša-Ahhē-šullim"	".0.11 Darius I"	Darius I	16
"P00713"	P00740	"Wife of"	"Wife of Iddin-Nabû"	"T00730"	"VAT 322"		"Baker 2004, no. 155"	"Nappāhu"	"Legal document"	"promissory note"	"Kār-Nabû-ša-muhhi-nāri-ša-Ahhē-šullim"	".0.11 Darius I"	Darius I	16
"P01529"	P00713	"Brother of"	"Brother of [Ina-Esagil-ramât]"	"T00738"	"VAT 511"		"Baker 2004, no. 159"	"Nappāhu"	"Legal document"	"promissory note"	"Broken/Unclear"	".0. Darius I"	Darius I	16
"P00713"	P01529	"Sister of"	"Sister of [Nabû-tabni-uṣur]"	"T00738"	"VAT 511"		"Baker 2004, no. 159"	"Nappāhu"	"Legal document"	"promissory note"	"Broken/Unclear"	".0. Darius I"	Darius I	16
"P28693"	P28665	"Cousin of"	"Cousin of Līšir"	"T00743"	"BM 109864"		"Waerzeggers 2010, no. 71"	"Unknown Borsippa"	"Legal document"	"gift"	"Borsippa"	"30.13.10 Nabonidus"	Nabonidus	10
"P28665"	P28693	"Cousin of"	"Cousin of Nabû-šumu-uṣur"	"T00743"	"BM 109864"		"Waerzeggers 2010, no. 71"	"Unknown Borsippa"	"Legal document"	"gift"	"Borsippa"	"30.13.10 Nabonidus"	Nabonidus	10
"P25806"	P27500	"Husband of"	"Husband of Šahītu"	"T00744"	"BM 96136"		"Waerzeggers 2010, no. 72"	"Bēlia’u"	"Legal document"	"purchase"	"Borsippa"	".6.05 Kandalānu"	Kandalānu	3
"P27500"	P25806	"Wife of"	"Wife of Nabû-ahhē-erība"	"T00744"	"BM 96136"		"Waerzeggers 2010, no. 72"	"Bēlia’u"	"Legal document"	"purchase"	"Borsippa"	".6.05 Kandalānu"	Kandalānu	3
"P13874"	P13164	"Child of"	"Child of Amat-Nanāya"	"T00746"	"BM 64177"		"Waerzeggers 2014, no. 139"	"Ṣāhit-ginê A"	"Legal document"	"marriage agreement"	"Babylon"	".0. Darius I"	Darius I	16
"P14096"	P13172	"Child of"	"Child of Ana-muhhi-Nanāya-taklāku"	"T00746"	"BM 64177"		"Waerzeggers 2014, no. 139"	"Ṣāhit-ginê A"	"Legal document"	"marriage agreement"	"Babylon"	".0. Darius I"	Darius I	16
"P05959"	P05893	"Child of"	"Child of Marduk-rēmanni"	"T00746"	"BM 64177"		"Waerzeggers 2014, no. 139"	"Ṣāhit-ginê A"	"Legal document"	"marriage agreement"	"Babylon"	".0. Darius I"	Darius I	16
"P13874"	P14564	"Child of"	"Child of Nādin-ahi"	"T00746"	"BM 64177"		"Waerzeggers 2014, no. 139"	"Ṣāhit-ginê A"	"Legal document"	"marriage agreement"	"Babylon"	".0. Darius I"	Darius I	16
"P14564"	P13874	"Father of"	"Father of Bulliṭiššu"	"T00746"	"BM 64177"		"Waerzeggers 2014, no. 139"	"Ṣāhit-ginê A"	"Legal document"	"marriage agreement"	"Babylon"	".0. Darius I"	Darius I	16
"P05893"	P05959	"Father of"	"Father of Bēl-bullissu"	"T00746"	"BM 64177"		"Waerzeggers 2014, no. 139"	"Ṣāhit-ginê A"	"Legal document"	"marriage agreement"	"Babylon"	".0. Darius I"	Darius I	16
"P14564"	P13164	"Husband of"	"Husband of Amat-Nanāya"	"T00746"	"BM 64177"		"Waerzeggers 2014, no. 139"	"Ṣāhit-ginê A"	"Legal document"	"marriage agreement"	"Babylon"	".0. Darius I"	Darius I	16
