Tablet ID	Orig Tablet ID	Museum nr	Excavation_NR	Publication	Archive	Text type	Subtype	Main Objects	Place of writing	Babylonian date (D.M.Y King)	Julian date	Comments	CDLI	BM	Nabucco	Achemenet	Oracc	Author	Attestation ids	Orig. Attestation ids	
T01181	1181	CBS 5206		Stolper 1985, no. 69	Murašû	Legal document	promissory note, with pledge and without interest	"bīt qašti (bow land); eqlu (field); maškanu (pledge); suluppū (dates)"	Nippur	17.0.41 Artaxerxes I	424		https://cdli.ucla.edu/P261399			http://www.achemenet.com/fr/item/?/sources-textuelles/textes-par-langues-et-ecritures/babylonien/archives-murasu/3490766		Rieneke Sonnevelt (05/06/2018)	"""A09166; A09167; A09168; A09169; A09170; A09171; A09172; A09173"""	"9166; 9167; 9168; 9169; 9170; 9171; 9172; 9173"	
T01182	1182	CBS 12874		Stolper 1985, no. 70	Murašû	Legal document	promissory note, with pledge and without interest	"eqlu (field); haṣāru (enclosure, storehouse); maškanu (pledge); suluppū (dates); zaqpu (planted with palm trees)"	Broken/Unclear	3.0.29 Artaxerxes I	[436/435]		https://cdli.ucla.edu/P267475			http://www.achemenet.com/fr/item/?/sources-textuelles/textes-par-langues-et-ecritures/babylonien/archives-murasu/3490769		Rieneke Sonnevelt (05/06/2018)	"""A09174; A09175; A09176; A09177; A09178; A09179; A09180; A09182; A09183; A09184; A09185; A09186; A09187; A09189; A09190; A09191; A09192; A09193; A09194; A09195; A09196"""	"9174; 9175; 9176; 9177; 9178; 9179; 9180; 9182; 9183; 9184; 9185; 9186; 9187; 9189; 9190; 9191; 9192; 9193; 9194; 9195; 9196"	
T01183	1183	BM 31975		Abraham 2004, no. 121	Egibi Nūr-Sîn	Legal document	broken/uncertain	"bītu (house); bītu epšu (built house); erṣet Šu'anna (district of Šu'anna); sūqu Hubur (Hubur street)"	Susa	10.14.16 Darius I	505	The tablet is very fragmentary. It is said to be sealed, but no impressions are mentioned as being visible in the publication. The sealers of this tablet are also attested in TCL 13, 193.	-	https://www.britishmuseum.org/collection/object/W_1876-1117-1702	https://nabucco.arts.kuleuven.be/item/30727	http://www.achemenet.com/fr/item/?/3349245==Strassmaier%20--Inschriften%20von%20Darius&l=a&c=1&t=1.4/5/96/1/1661831	-	Maarja Seire (05/06/2018)	"""A09199; A09200; A09203; A09204; A09205; A09206; A09207; A09208; A09209; A09210; A09211; A09212; A09213"""	"9199; 9200; 9203; 9204; 9205; 9206; 9207; 9208; 9209; 9210; 9211; 9212; 9213"	
T01184	1184	BM 42554		Jursa 1999, pp. 200f.	Šangû-Šamaš A	Legal document	receipt	"giṭṭu (receipt); kaspu bitqu nuhhutu (scrap silver with 1/8 alloy); rašûtu (credit); suluppū (dates); u’iltu (promissory note); uṭṭatu (barley)"	Sippar	13.13.13 Darius I	508		-	https://www.britishmuseum.org/collection/object/W_1881-0701-313	https://nabucco.arts.kuleuven.be/item/33205	http://www.achemenet.com/fr/item/?/sources-textuelles/textes-par-langues-et-ecritures/babylonien/autres-archives-privees/1327885	-	Julia Giessler (05/06/2018)	"""A09215; A09216; A09217; A09218; A09219; A09220; A09221; A09222"""	"9215; 9216; 9217; 9218; 9219; 9220; 9221; 9222"	
T01185	1185	BM 42555		Jursa 1999, pp. 201f.	Šangû-Šamaš A	Legal document	promissory note, with interest	"hubullu (interest); suluppū (dates)"	Sippar	07.14.22 Darius I	[499]		-	https://www.britishmuseum.org/collection/object/W_1881-0701-314	https://nabucco.arts.kuleuven.be/item/33172	http://www.achemenet.com/fr/item/?/sources-textuelles/textes-par-langues-et-ecritures/babylonien/autres-archives-privees/1327795	-	Julia Giessler (05/06/2018)	"""A09223; A09224; A09225; A09226; A09227; A09228; A09229; A09230; A09231"""	"9223; 9224; 9225; 9226; 9227; 9228; 9229; 9230; 9231"	
T01186	1186	BM 79103		unpublished	Šangû-Šamaš A	Legal document	NN	NN	Sippar	07.14.22 Darius I	499	See the duplicate BM 42555 for contents and Jursa 1999, p. 202 for characteristics of both tablets.	-	https://www.britishmuseum.org/collection/object/W_1889-0426-400	-	-	-	Julia Giessler (05/06/2018)	NN	NN	
T01187	1187	BM 42558		Jursa 1999, pp. 202f.	Šangû-Šamaš A	Legal document	promissory note	"biltu ša huṣābi (load of palm-frond ribs); darīku (pressed dates); gipû (date basket); habû uhinni (a tax on the date harvest); haṣāru (enclosure, storehouse); mangāgu (date palm fibres); qappatu (palm-feather basket); suluppū (dates); tuhallu (palm-leaf basket)"	Broken/Unclear	NN	-	Fragmentary.	-	https://www.britishmuseum.org/collection/object/W_1881-0701-317	https://nabucco.arts.kuleuven.be/item/33139	http://www.achemenet.com/fr/item/?/sources-textuelles/textes-par-langues-et-ecritures/babylonien/autres-archives-privees/1327981	-	Julia Giessler (05/06/2018)	"""A09232; A09233"""	"9232; 9233"	
T01188	1188	BM 42560		Jursa 1999, p. 203	Šangû-Šamaš A	Legal document	promissory note	"suluppū (dates); u’iltu (promissory note)"	Sippar	15.6.05 Cambyses	525		-	https://www.britishmuseum.org/collection/object/W_1881-0701-319	https://nabucco.arts.kuleuven.be/item/33109	http://www.achemenet.com/fr/item/?/sources-textuelles/textes-par-langues-et-ecritures/babylonien/autres-archives-privees/1327792	-	Julia Giessler (06/06/2018)	"""A09267; A09268; A09270; A09271; A09272; A09274"""	"9267; 9268; 9270; 9271; 9272; 9274"	
T01189	1189	BM 42561+		Jursa 1999, pp. 203-205	Šangû-Šamaš A	Legal document	promissory note, with pledge and interest	"biltu ša huṣābi (load of palm-frond ribs); broken/unclear; ebūru (harvest); gipû (date basket); gišimmaru (date palm); hubullu (interest); kaspu peṣû bitqu nuhhutu lā ginnu (white scrap unstamped silver with 1/8 alloy); mangāgu (date palm fibres); maškanu (pledge); nikkassu (account); suluppū (dates); uṭṭatu (barley); zēru zaqpu (land planted with date palms)"	Sippar	.0.20 Darius I	after 502/501		-	https://www.britishmuseum.org/collection/object/W_1881-0701-320	https://nabucco.arts.kuleuven.be/item/33076	http://www.achemenet.com/fr/item/?/sources-textuelles/textes-par-langues-et-ecritures/babylonien/autres-archives-privees/1328188	-	Julia Giessler (06/06/2018)	"""A09284; A09287; A09291; A09293; A09294; A09297; A09554; A09557; A09563; A09575; A09584; A09593; A09599; A09602; A09605; A09623; A09629; A09635; A09641; A09650; A09656"""	"9284; 9287; 9291; 9293; 9294; 9297; 9554; 9557; 9563; 9575; 9584; 9593; 9599; 9602; 9605; 9623; 9629; 9635; 9641; 9650; 9656"	
T01190	1190	MMA 86.11.488		CTMMA 3, no. 9	Esagilāya A	Legal document	promissory note	"broken/unclear; suluppū (dates)"	Babylon	4.6.36 Nebuchadnezzar II	[569]	Fragmentary	https://cdli.ucla.edu/P412287					Lidewij van de Peut (06/06/2018)	"""A09281; A09282; A09286; A09290; A09292"""	"9281; 9282; 9286; 9290; 9292"	
T01191	1191	MMA 86.11.381		CTMMA 3, no. 10	Esagilāya A	Legal document	NN	NN	Babylon	22.11.37 Nebuchadnezzar II	567	See the duplicate BM 92790.	https://cdli.ucla.edu/P412288					Lidewij van de Peut (06/06/2018)	NN	NN	
T01196	1196	BM 92790		Nbk 273	Esagilāya A	Legal document	promissory note	"maškattu (storehouse); qaqqadu (capital); šibšu (agricultural tax); uṭṭatu (barley)"	Babylon	22.11.37 Nebuchadnezzar II	567	The tablet was collated by E. von Dassow on the basis of which Spar and von Dassow 2000, pp. 31f. restored breaks in the duplicate MMA 86.11.381 in their edition.	-	https://www.britishmuseum.org/collection/object/W_1884-0211-24	-	-	-	Lidewij van de Peut (06/06/2018)	"""A09383; A09386; A09395; A09401; A09404; A09407; A09410"""	"9383; 9386; 9395; 9401; 9404; 9407; 9410"	
T01205	1205	BM 30488		Abraham 2004, no. 122	Egibi Nūr-Sîn	Legal document	promissory note, with interest	"Esagil (temple of Marduk in Babylon); hubullu (interest); kaspu peṣû bitqu nuhhutu (white scrap silver with 1/8 alloy); qaqqadu (capital)"	Susa	.13.16 Darius I	[506/505]?	The debtor will only have to pay interest, if he pays back after month 3 of year 17.	-	https://www.britishmuseum.org/collection/object/W_1876-1117-215	https://nabucco.arts.kuleuven.be/item/30868	http://www.achemenet.com/fr/item/?/3349245==Strassmaier%20--Inschriften%20von%20Darius&l=a&c=1&t=1.4/5/96/1/1661877	-	Maarja Seire (06/06/2018)	"""A09317; A09320; A09323; A09326; A09329; A09335; A09338; A09341; A09344; A09347; A09350; A09353; A09356; A09359; A09365"""	"9317; 9320; 9323; 9326; 9329; 9335; 9338; 9341; 9344; 9347; 9350; 9353; 9356; 9359; 9365"	
T01208	1208	BM 30309		Abraham 2004, no. 123	Egibi Nūr-Sîn	Legal document	receipt	"kaspu bitqu nuhhutu (scrap silver with 1/8 alloy); kaspu peṣû nuhhutu (white scrap silver); u’iltu (promissory note)"	Babylon	20.11.17 Darius I	504		-	https://www.britishmuseum.org/collection/object/W_1876-1117-29	https://nabucco.arts.kuleuven.be/item/31006	http://www.achemenet.com/fr/item/?/3349245==Strassmaier%20--Inschriften%20von%20Darius&l=a&c=1&t=1.4/5/96/1/1662170	-	Maarja Seire (06/06/2018)	"""A09368; A09371; A09374; A09377; A09380; A09524; A09527; A09530; A09533; A09536"""	"9368; 9371; 9374; 9377; 9380; 9524; 9527; 9530; 9533; 9536"	
T01214	1214	YBC 9577		Joannès 1989, p. 357	Ea-ilūtu-bāni, Ilī-bāni, Nanāhu	Legal document	promissory note	"biltu ša huṣābi (load of palm-frond ribs); gišimmaru (date palm grove); imittu (assessed rent); suluppū (dates)"	Borsippa	22.6.31 Nebuchadnezzar II	574		https://cdli.ucla.edu/P310290		https://nabucco.arts.kuleuven.be/item/24973			Evelien Vanderstraeten (06/06/2018)	"""A09431; A09434; A09437; A09440; A09443; A09446"""	"9431; 9434; 9437; 9440; 9443; 9446"	
T01217	1217	YBC 9631		Joannès 1989, pp. 357-358	Ea-ilūtu-bāni, Ilī-bāni, Nanāhu	Legal document	promissory note	"kaspu (silver); uṭṭatu (barley)"	Borsippa	16.10.29 Nebuchadnezzar II	576		https://cdli.ucla.edu/P310344		https://nabucco.arts.kuleuven.be/item/24925			Evelien Vanderstraeten (06/06/2018)	"""A09413; A09416; A09419; A09422; A09425; A09428"""	"9413; 9416; 9419; 9422; 9425; 9428"	
T01220	1220	BM 67413		Abraham 2004, no. 124	Egibi Nūr-Sîn	Legal document	receipt	"kaspu ginnu (stamped silver); rašûtu (credit); suluppū (dates); u’iltu (promissory note); uṭṭatu (barley)"	Šahrīn	22.11.17 Darius I	504		-	https://www.britishmuseum.org/collection/object/W_1882-0918-7410	https://nabucco.arts.kuleuven.be/item/31147	http://www.achemenet.com/fr/item/?/3349245==Strassmaier%20--Inschriften%20von%20Darius&l=a&c=1&t=1.4/5/96/1/1662211	-	Maarja Seire (07/06/2018)	"""A09539; A09542; A09545; A09548; A09551; A09560; A09566; A09569; A09572; A09578; A09581; A09587; A09590; A09596"""	"9539; 9542; 9545; 9548; 9551; 9560; 9566; 9569; 9572; 9578; 9581; 9587; 9590; 9596"	
T01223	1223	BM 31423+		Abraham 2004, no. 125	Egibi Nūr-Sîn	Legal document	promissory note, with pledge and interest	"broken/unclear; hubullu (interest); kaspu bitqu nuhhutu (scrap silver with 1/8 alloy); rīhtu/rīhitu (remainder, rest); šīmu (price); šūmū (onions, garlic); u’iltu (promissory note)"	Babylon	24.11.17 Darius I	504	Cf. Dar 315 for the background information. Some of the names of the witnesses are restored from BM 33959.	-	https://www.britishmuseum.org/collection/object/W_1876-1117-1150	https://nabucco.arts.kuleuven.be/item/31288	http://www.achemenet.com/en/item/?/textual-sources/texts-by-languages-and-scripts/babylonian/egibi-archive/1662234	-	Maarja Seire (07/06/2018)	"""A09608; A09611; A09614; A09617; A09620; A09626; A09632; A09638; A09644; A09647; A09653; A09659; A09662; A09665; A09668; A09671"""	"9608; 9611; 9614; 9617; 9620; 9626; 9632; 9638; 9644; 9647; 9653; 9659; 9662; 9665; 9668; 9671"	
T01226	1226	BM 42563		Jursa 1999, pp. 205f.	Šangû-Šamaš A	Legal document	promissory note	"suluppū (dates); u’iltu (promissory note)"	Sippar	29.13.06 Cambyses	523		-	https://www.britishmuseum.org/collection/object/W_1881-0701-322	https://nabucco.arts.kuleuven.be/item/33046	http://www.achemenet.com/fr/item/?/sources-textuelles/textes-par-langues-et-ecritures/babylonien/autres-archives-privees/1327804	-	Julia Giessler (07/06/2018)	"""A09683; A09686; A09692; A09698; A09704; A09716"""	"9683; 9686; 9692; 9698; 9704; 9716"	
T01229	1229	BM 30863		Abraham 2004, no. 126	Egibi Nūr-Sîn	Legal document	promissory note, with interest	"kaspu peṣû bitqu nuhhutu (white scrap silver with 1/8 alloy); rīhtu/rīhitu (remainder, rest); u’iltu (promissory note)"	Babylon	15.12.17 Darius I	504	At the end of the document one finds a statement that a scribe (not the scribe of this document) has sealed this tablet, but there is no seal marking.	-	https://www.britishmuseum.org/collection/object/W_1876-1117-590	https://nabucco.arts.kuleuven.be/item/31426	http://www.achemenet.com/fr/item/?/3349245==Strassmaier%20--Inschriften%20von%20Darius&l=a&c=1&t=1.4/5/96/1/1662280	-	Maarja Seire (07/06/2018)	"""A09674; A09677; A09680; A09689; A09695; A09701; A09707; A09710; A09713"""	"9674; 9677; 9680; 9689; 9695; 9701; 9707; 9710; 9713"	
T01232	1232	BM 42564		Jursa 1999, p. 206	Šangû-Šamaš A	Legal document	broken/uncertain	"Ebabbar bīt Šamaš (temple of Šamaš in Sippar); sirāšûtu (brewer’s prebend)"	Sippar	.0.33 Darius I	489/488	Fragmentary text, perhaps a prebendary work contract.	-	https://www.britishmuseum.org/collection/object/W_1881-0701-323	https://nabucco.arts.kuleuven.be/item/33016	http://www.achemenet.com/fr/item/?/sources-textuelles/textes-par-langues-et-ecritures/babylonien/autres-archives-privees/1328113	-	Julia Giessler (07/06/2018)	"""A09722; A09728; A09734; A09740; A09743"""	"9722; 9728; 9734; 9740; 9743"	
T01235	1235	BM 33958		Abraham 2004, no. 127	Egibi Nūr-Sîn	Legal document	promissory note	"bītu (estate, plot of land); rašûtu (credit); uṭṭatu (barley)"	Šahrīn	7.13.17 Darius I	504	The document mentions another credit claim against Nergal-uballiṭ and Qunnabu and a credit claim against Bēl-iddin.	-	https://www.britishmuseum.org/collection/object/W_SP-54	https://nabucco.arts.kuleuven.be/item/31564	http://www.achemenet.com/fr/item/?/3349245==Strassmaier%20--Inschriften%20von%20Darius&l=a&c=1&t=1.4/5/96/1/1662372	-	Maarja Seire (07/06/2018)	"""A09719; A09725; A09731; A09737; A09746; A09749; A09752; A09755; A09758; A09761; A09764; A09767"""	"9719; 9725; 9731; 9737; 9746; 9749; 9752; 9755; 9758; 9761; 9764; 9767"	
T01238	1238	BM 42567		Jursa 1999, pp. 206f.	Šangû-Šamaš A	Legal document	receipt	"imittu (assessed rent); makkūr Šamaš (land of god Šamaš); suluppū (dates)"	Broken/Unclear	24.0.00 Xerxes I	486/485	The end of the obverse and the lower edge (ca. 2-3 lines) are lost.	-	https://www.britishmuseum.org/collection/object/W_1881-0701-326	https://nabucco.arts.kuleuven.be/item/32986	http://www.achemenet.com/fr/item/?/sources-textuelles/textes-par-langues-et-ecritures/babylonien/autres-archives-privees/1327894	-	Julia Giessler (07/06/2018)	"""A09770; A09773; A09776; A09779; A09782; A09785; A09788; A09791; A09794"""	"9770; 9773; 9776; 9779; 9782; 9785; 9788; 9791; 9794"	
T01241	1241	BM 42568		Jursa 1999, pp. 207f.	Šangû-Šamaš A	Legal document	receipt	"bīt Anunnītu (temple of Anunnītu); kaspu ginnu (stamped silver); pappasu (prebendary income); u’iltu (promissory note)"	Babylon	26.4.08 Darius I	514		-	https://www.britishmuseum.org/collection/object/W_1881-0701-327	https://nabucco.arts.kuleuven.be/item/32959	http://www.achemenet.com/fr/item/?/sources-textuelles/textes-par-langues-et-ecritures/babylonien/autres-archives-privees/1327897	-	Julia Giessler (07/06/2018)	"""A10355; A10358; A10364; A10370; A10373; A10379; A10382; A10385"""	"10355; 10358; 10364; 10370; 10373; 10379; 10382; 10385"	
T01247	1247	L 1652		Joannès 1989, p. 246	Ea-ilūtu-bāni, Ilī-bāni, Nanāhu	Legal document	lease contract	"bīt sūti (south wing); bītu (house); idū (rent); kaspu peṣû (white silver); nudunnû (dowry)"	Borsippa	28.13.30 Darius I	491				https://nabucco.arts.kuleuven.be/item/24889			Evelien Vanderstraeten (08/06/2018)	"""A09821; A09824; A09827; A09830; A09833; A09836; A09839; A09842; A09845; A09848"""	"9821; 9824; 9827; 9830; 9833; 9836; 9839; 9842; 9845; 9848"	
T01250	1250	L 1667		Joannès 1989, pp. 252-253	Ea-ilūtu-bāni, Ilī-bāni, Nanāhu	Legal document	lease contract	"batqu (damages, repair); bītu (house); idū (rent); kaspu (silver); kinnayyātu (type of offering); šugarrû (date palm product); ūmu Enlil (daily gift for Enlil); ūru (roof)"	Borsippa	19.6.01 Nebuchadnezzar IV	521				https://nabucco.arts.kuleuven.be/item/25315			Evelien Vanderstraeten (08/06/2018)	"""A09851; A09854; A09857; A09860; A09863; A09866; A09869"""	"9851; 9854; 9857; 9860; 9863; 9866; 9869"	
T01253	1253	MLC 330		Joannès 1989, p. 325	Ea-ilūtu-bāni, Ilī-bāni, Nanāhu	Legal document	lease contract	"asurrû (foundation wall); batqu (damages, repair); bīt asuppi (type of building); bīt qātē (storeroom); idū (rent); kaspu bitqu (silver with 1/8 alloy); kinnayyātu (type of offering); šugarrû (date palm product); ūmu Enlil (daily gift for Enlil); ūru (roof)"	Borsippa	29.8.02 Cambyses	528	The list of witnesses is fragmentary.	https://cdli.ucla.edu/P295135		https://nabucco.arts.kuleuven.be/item/25483			Evelien Vanderstraeten (08/06/2018)	"""A09872; A09875; A09878; A09881; A09884"""	"9872; 9875; 9878; 9881; 9884"	
T01256	1256	YBC 9139		Joannès 1989, pp. 325-326	Ea-ilūtu-bāni, Ilī-bāni, Nanāhu	Legal document	lease contract	"bīt ištāni (north wing); bīt šadî (east wing); idū (rent); kaspu (silver); qallatu (female slave); ūru (roof)"	Babylon	17.5.13 Nebuchadnezzar II	592		https://cdli.ucla.edu/P309861		https://nabucco.arts.kuleuven.be/item/25159			Evelien Vanderstraeten (08/06/2018)	"""A09887; A09890; A09893; A09896; A09899; A09902; A09905; A09908"""	"9887; 9890; 9893; 9896; 9899; 9902; 9905; 9908"	
T01259	1259	NBC 8345		YOS 19, 10	Ea-ilūtu-bāni, Ilī-bāni, Nanāhu	Legal document	lease contract	"asurrû (foundation wall); batqu (damages, repair); bītu (house); idū (rent); kaspu (silver); ṭuppu (tablet, record); ūru (roof)"	Borsippa	28.4.11 Nabonidus	545		https://cdli.ucla.edu/P299705		https://nabucco.arts.kuleuven.be/item/25261			Evelien Vanderstraeten (08/06/2018)	"""A09911; A09914; A09917; A09920; A09923; A09926"""	"9911; 9914; 9917; 9920; 9923; 9926"	
T01262	1262	NBC 8378		Joannès 1989, p. 349	Ea-ilūtu-bāni, Ilī-bāni, Nanāhu	Legal document	lease contract	"batqu (damages, repair); bītu (house); kaspu (silver); ṭuppu (tablet, record); ūru (roof)"	Borsippa	01.8.02 Neriglissar	558		https://cdli.ucla.edu/P299738		https://nabucco.arts.kuleuven.be/item/25117			Evelien Vanderstraeten (08/06/2018)	"""A09929; A09932; A09935; A09938; A09941; A09944; A09947"""	"9929; 9932; 9935; 9938; 9941; 9944; 9947"	
T01271	1271	CBS 12963		Stolper 1985, no. 72	Murašû	Legal document	promissory note	"bīt qašti (bow land); suluppū (dates)"	Addiyāya	5.5.34 Artaxerxes I	[431]	In similar texts (see comment to date) land holdings are pledged, but this is not visible in this text. 	https://cdli.ucla.edu/P267566			http://www.achemenet.com/fr/item/?/sources-textuelles/textes-par-langues-et-ecritures/babylonien/archives-murasu/3490815		Rieneke Sonnevelt (09/06/2018)	"""A10013; A10016; A10019; A10022; A10025; A10028; A10031; A10034; A10037; A10040; A10043; A10046; A10049; A11039"""	"10013; 10016; 10019; 10022; 10025; 10028; 10031; 10034; 10037; 10040; 10043; 10046; 10049; 11039"	
T01274	1274	CBS 12962		Stolper 1985, no. 71	Murašû	Legal document	promissory note	"suluppū (dates); zēru (arable land)"	Broken/Unclear	.0.29 Artaxerxes I	436/435		https://cdli.ucla.edu/P267565			http://www.achemenet.com/fr/item/?/sources-textuelles/textes-par-langues-et-ecritures/babylonien/archives-murasu/3490812		Rieneke Sonnevelt (09/06/2018)	"""A10052; A10055; A10058; A10061; A10067; A10070; A10073; A10076; A10079; A10082; A10085; A10088"""	"10052; 10055; 10058; 10061; 10067; 10070; 10073; 10076; 10079; 10082; 10085; 10088"	
T01277	1277	CBS 13034		Stolper 1985, no. 73	Murašû	Legal document	promissory note, with pledge and without interest	"bīt qašti (bow land); haṣāru (enclosure, storehouse); maškanu (pledge); suluppū (dates); zēru zaqpu u pî šulpi (land planted with palm trees and grain)"	Nippur	NN	-		https://cdli.ucla.edu/P268119			http://www.achemenet.com/fr/item/?/sources-textuelles/textes-par-langues-et-ecritures/babylonien/archives-murasu/3490818		Rieneke Sonnevelt (09/06/2018)	"""A10097; A10100; A10103; A10118; A10121; A10127"""	"10097; 10100; 10103; 10118; 10121; 10127"	
T01280	1280	CBS 12964		Stolper 1985, no. 74	Murašû	Legal document	promissory note, with pledge and without interest	"bīt qašti (bow land); eqlu (field); maškanu (pledge); suluppū (dates); zaqpu (planted with palm trees)"	Addiyāya	5.5.34 Artaxerxes I	[431]		https://cdli.ucla.edu/P267567			http://www.achemenet.com/fr/item/?/sources-textuelles/textes-par-langues-et-ecritures/babylonien/archives-murasu/3490821		Rieneke Sonnevelt (09/06/2018)	"""A10142; A10145; A10148; A10151; A10154; A10157; A10160; A10166; A10169; A10202; A10205; A11042; A14918; A14921"""	"10142; 10145; 10148; 10151; 10154; 10157; 10160; 10166; 10169; 10202; 10205; 11042; 14918; 14921"	
T01286	1286	CBS 12971		Stolper 1985, no. 75	Murašû	Legal document	promissory note, with pledge and without interest	"maškanu (pledge); suluppū (dates); zaqpu (planted with palm trees)"	Broken/Unclear	NN	-		https://cdli.ucla.edu/P267575			http://www.achemenet.com/fr/item/?/sources-textuelles/textes-par-langues-et-ecritures/babylonien/archives-murasu/3490824		Rieneke Sonnevelt (09/06/2018)	"""A10208; A10211; A10214; A10217; A10220; A10223; A10226; A10229; A10232"""	"10208; 10211; 10214; 10217; 10220; 10223; 10226; 10229; 10232"	
T01289	1289	CBS 12966		Stolper 1985, no. 76	Murašû	Legal document	promissory note, with pledge and without interest	"bāru; bīt qašti (bow land); eqlu zaqpu u pî šulpi (field planted with palm trees and grain); haṣāru (enclosure, storehouse); ilku (corvée); kaspu (silver); maškanu (pledge); qēmu (flour tax); suluppū (dates)"	Broken/Unclear	NN	-		https://cdli.ucla.edu/P267569			http://www.achemenet.com/fr/item/?/sources-textuelles/textes-par-langues-et-ecritures/babylonien/archives-murasu/3490827		Rieneke Sonnevelt (09/06/2018)	"""A10235; A10238; A10241; A10244; A10247; A10250; A10253; A10256; A10967"""	"10235; 10238; 10241; 10244; 10247; 10250; 10253; 10256; 10967"	
T01292	1292	CBS 12940+		Stolper 1985, no. 77	Murašû	Legal document	promissory note, with pledge and without interest	"eqlu (field); haṣāru (enclosure, storehouse); maškanu (pledge); suluppū (dates); zaqpu (planted with palm trees)"	Nippur	5.5.33 Artaxerxes I	432		https://cdli.ucla.edu/P267543			http://www.achemenet.com/fr/item/?/sources-textuelles/textes-par-langues-et-ecritures/babylonien/archives-murasu/3490830		Rieneke Sonnevelt (09/06/2018)	"""A10259; A10262; A10265; A10268; A10271; A10274; A10277; A10280; A10283; A10286; A10289"""	"10259; 10262; 10265; 10268; 10271; 10274; 10277; 10280; 10283; 10286; 10289"	
T01295	1295	MMA 86.11.231		CTMMA 3, no. 11	Esagilāya A	Legal document	broken/uncertain	"bābu (gate); broken/unclear; šikaru rēštû (first-draft beer)"	Not mentioned	27.6.2 Neriglissar	558	Fragmentary	https://cdli.ucla.edu/P412289					Lidewij van de Peut (11/06/2018)	"""A10391; A10394; A10400; A10406; A10409; A10415; A10421; A10424"""	"10391; 10394; 10400; 10406; 10409; 10415; 10421; 10424"	
T01298	1298	BM 43301+		unpublished	Šangû-Šamaš A	Legal document	NN	NN	Babylon	26.4.08 Darius I	514	See the duplicate BM 42568 for contents and see Jursa 1999, pp. 207f. for characteristics of both tablets.	-	https://www.britishmuseum.org/collection/object/W_1881-0701-1065	https://nabucco.arts.kuleuven.be/item/33256	-	-	Julia Giessler (11/06/2018)	NN	NN	
T01301	1301	BM 42572		Jursa 1999, pp. 208f.	Šangû-Šamaš A	Legal document	prebendary work contract	"Eulmaš bīt Anunnītu (temple of Anunnītu); naptanu (meal); nuhatimmūtu (baker’s prebend); pappasu (prebendary income); uṭṭatu (barley)"	Sippar	22.1.04 Darius I	518		-	https://www.britishmuseum.org/collection/object/W_1881-0701-332	https://nabucco.arts.kuleuven.be/item/32932	http://www.achemenet.com/fr/item/?/sources-textuelles/textes-par-langues-et-ecritures/babylonien/autres-archives-privees/1328110	-	Julia Giessler (11/06/2018)	"""A10430; A10433; A10442; A10445; A10448; A10451; A10454"""	"10430; 10433; 10442; 10445; 10448; 10451; 10454"	
T01304	1304	MMA 86.11.390		CTMMA 3, no. 12	Esagilāya A	Legal document	promissory note, with interest	"bāb kalakki (gate of the warehouse); hubullu (interest); uṭṭatu (barley)"	Babylon	14.9.2 Neriglissar	558		https://cdli.ucla.edu/P412290					Lidewij van de Peut (11/06/2018)	"""A10457; A10460; A10463; A10466; A10469; A10472"""	"10457; 10460; 10463; 10466; 10469; 10472"	
T01307	1307	BM 42574+		Jursa 1999, pp. 209f.	Šangû-Šamaš A	Legal document	promissory note	"amtu (female slave); biltu ša huṣābi (load of palm-frond ribs); gimru (transport expenses); haṣāru (enclosure, storehouse); suluppū (dates); tuhallu (palm-leaf basket)"	Sippar	24.0.14 Darius I	508/507	According to Jursa 1999, p. 210, the broken part of this text could have referred to a female slave that was sold by Bēl-rēmanni to Bazuzu and Erībāya for a price that equals the amount of dates mentioned in this text, for which Nabû-ikṣur gave them the credit.	-	https://www.britishmuseum.org/collection/object/W_1881-0701-334	https://nabucco.arts.kuleuven.be/item/32902	http://www.achemenet.com/fr/item/?/sources-textuelles/textes-par-langues-et-ecritures/babylonien/autres-archives-privees/1327852	-	Julia Giessler (11/06/2018)	"""A10502; A10505; A10508; A10511; A10517; A10526; A10532; A10541; A10544; A10547; A10559; A10565; A10568; A10757"""	"10502; 10505; 10508; 10511; 10517; 10526; 10532; 10541; 10544; 10547; 10559; 10565; 10568; 10757"	
T01310	1310	MMA 86.11.207		CTMMA 3, no. 13	Esagilāya A	Administrative document	outgoing	"bīt Bēlet Akkad (temple of the lady of Akkad); maššartu (prebendary payment); uṭṭatu (barley)"	Not mentioned	.0.03 Neriglissar	[557/556]?	The document records the receipt of barley by Nabû-aplu-iddin from the temple of the Lady of Akkad. Witnesses, scribe and date formula are lacking.  The drawing on the reverse is similar to the drawing on the left edge of MMA 86.11.308.	https://cdli.ucla.edu/P412291					Lidewij van de Peut (11/06/2018)	"""A10490; A10496; A10499"""	"10490; 10496; 10499"	
T01313	1313	MMA 86.11.295		CTMMA 3, no. 14	Esagilāya A	Legal document	promissory note	"maškattu (storehouse); sahlû (cress); uṭṭatu (barley)"	Bahē	25.1.4 Neriglissar	556		https://cdli.ucla.edu/P412292					Lidewij van de Peut (11/06/2018)	"""A10520; A10523; A10535; A10607; A10622; A10634; A10640; A10643; A10646; A10649; A10655"""	"10520; 10523; 10535; 10607; 10622; 10634; 10640; 10643; 10646; 10649; 10655"	
